no,nama,zona1,zona2,zona3,zona4
,,, Tempurejo,,
,,, Bangoan,,
,,, Ketringan,,
,,, NGLAROHGUNUNG,,
,,, Jurangjero,,
,,, Kawengan,,
,,, Geneng,,
,,, Gayam,,
,,, Sendangrejo,,
,,, Gandu,,
18,SMP N 2 Bogorejo, Sendangrejo, Gayam, Bogorejo,
,,, Gandu, Jepon,
,,, Tempurejo, Blora,
,,, Tahunan, Jiken,
19,SMP N 3  Bogorejo Satu Atap,Jurangjero,Nglengkir, Bogorejo, Gunem
,,,Waru, Jepon,
,,,Karanganyar, Blora,
,,,Karang,,
,,,Tempurejo,,
,,,Gandu,,
20,SMP N 1 Cepu, Tambakromo, Ngelo, Kedungtuban, Padangan
,,, Ngroto, Sambong, Kasiman
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Cepu,,
,,, Karangboyo,,
,,, Mulyorejo,,
21,SMP N 2 Cepu, Karangboyo, Ngelo, Kedungtuban,
,,, Ngroto, Sambong,
,,, Getas, Jiken,
,,, Balun, Cepu,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Cepu,,
,,, Tambakromo,,
,,, Mulyorejo,,
22,SMP N 3 Cepu, Cepu, Ngelo, Kedungtuban, Padangan 
,,, Ngroto, Sambong, Kasiman
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Karangboyo,,
,,, Tambakromo,,
,,, Mulyorejo,,
23,SMP N 4 Cepu, Mulyorejo, Ngelo, Kedungtuban,
,,, Ngroto, Sambong,
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,,Tambakromo,,
,,,Cepu,,
,,,Karangboyo,,
24,SMP N 5 Cepu, Cepu, Ngelo, Kedungtuban,
,,, Ngroto, Sambong,
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Karangboyo,,
,,, Tambakromo,,
,,, Mulyorejo,,
25,SMP N 1 Kedungtuban, Ngraho, Sogo, Kedungtuban,
,,, Bajo, Cepu,
,,, Kedungtuban, Kradenan,
,,, Galuk, Jepon,
,,, Tanjung,,
,,, Blungun,,
,,, Nglandeyan,,
,,, Kalen,,
,,, Pulo,,
26,SMP N 2 Kedungtuban, Sidorejo, Wado, Randublatung,
,,, Kemantren, Kedungtuban,
,,, Ketuwan, Cepu,
,,, Jimbung, Kradenan,
,,, Gondel,,
,,, Panolan,,
,,, Klagen,,
,,, Pulo,,
,,,Tanjung,,
,,,Nglungger,,
,,,Gadon,,
27,SMP N 1 Sambong, Pojokwatu , Sambong, Jepon,
,,, Ledok, Sambong,
,,, Gadu, Cepu,
,,, Temengeng, Jiken,
,,, Sambongrejo,,
,,, Gagakan,,
,,, Blungun,,
,,,Galuk,,
28,SMP N 2 Sambong, Brabowan,Ngroto, Sambong, Kedewan
,,,Giyanti, Cepu, Kasiman
,,, Biting, Jiken, Padangan
,,, Gagakan,,
29,SMP N 1 Jiken, Jiken, Cabak, Bogorejo,
,,, Nglobo, Sambong,
,,, Genjahan, Jepon,
,,, Nglebur, Jiken,
,,, TEMPELLEMAHBANG,,
,,, Kemiri,,
30,SMP N 2 Jiken, Bleboh, Janjang, Bogorejo, Kedewan
,,,, Sambong, Kenduruan
,,,, Cepu,
,,, Nglebur, Jiken,
,,,, Jepon,
31,SMP N 3 Jiken, Jiworejo, Singonegoro, Bogorejo,
,,, Bangoan, Sambong,
,,, Ketringan, Jepon,
,,, TEMPELLEMAHBANG, Jiken,
32,SMP N 4 Jiken Satu Atap,Ketringan,Bangoan, Jiken, Kedewan
,,,Jiworejo, Jepon,
,,,Singonegoro, Bogorejo,
,,,Gembol,,
33,SMP N 1 Ngawen, Berbak, Ngawen, Ngawen,
,,,, Japah,
,,,, Kunduran,
,,, , Todanan,
,,,Bradag, Banjarejo,
,,, Gondang, Tunjungan,
,,, Got Puthuk,,
,,, Karangjong,,
,,, Punggursugih,,
,,, Semawur,,
,,, Sendang Agung,,
,,, Sendang Rejo/Ketanggi,,
,,, Srigading,,
,,, Trembulrejo,,
34,SMP N 2 Ngawen, ROWOBUNGKUL, Bergolo, Ngawen,
,,, Gedebeg, Kunduran,
,,, JETAKWANGER, Banjarejo,
,,, Plumbon,,
,,, Sambonganyar,,
,,, Kemiri,,
,,,Tawangrejo,,
35,SMP N 3 Ngawen, Bogowanti, Sambongrejo, Ngawen,
,,,, Japah,
,,,, Kunduran,
,,,, Todanan,
,,, Sarimulyo, Tunjungan,
,,, Sendangmulyo,,
,,,,,
,,, Wantilgung,,
,,, Pengkolrejo,,
,,,Harjowinangun,,
,,,Tengger,,
,,,Gotputuk,,
36,SMP N 4 Ngawen, Bandungrojo, Karangtengah, Ngawen,
,,, Kedung Satrian, Japah,
,,, Kendayaan, Kunduran,
,,, Sumberejo, Banjarejo,
,,, Talok Wohmojo,,
,,, Jetakwanger,,
,,,Plumbon,,
37,SMP N 1 Japah,Beganjing,Padaan, Ngawen,
,,, Bogem, Japah,
,,, Bogorejo, Kunduran,
,,, Dologan, Todanan,
,,, Gaplokan,,
,,, Harjowinangun,,
,,, Japah,,
,,, Kalinanas,,
,,, Krocok,,
,,, Ngapus,,
,,, Ngiyono,,
,,, Ngrambitan,,
,,, Pengkolrejo,,
,,, Sumberejo,,
,,, Tengger,,
,,, Tlogowungu,,
,,,,,
,,, Wotbakah,,
38,SMP N 2 Japah Satu Atap,Kalinanas,Gaplokan, Todanan, Sumber
,,,Bogem, Japah,
39,SMP N 1 Kunduran, Kunduran, Gagaan, Ngawen, Ngaringan
,,, Sambiroto, Japah,
,,, Bejirejo, Kunduran,
,,, NGAWENOMBO, Todanan,
,,, Kedungwaru,,
,,, SENDANGWATES,,
,,, Ngilen,,
,,, Plosorejo,,
,,, Bakah,,
,,, Kalangrejo,,
,,, Blumbangrejo,,
,,, Tawangrejo,,
,,, Muraharjo,,
,,, Klokah,,
,,, Jagong,,
,,, Tinapan,,
,,, Kedungwungu,,
40,SMP N 2 Kunduran, Sempu, Botoreco, Ngawen, Gabus
,,, Buloh, Kunduran ,
,,, Cungkup, Jati,
,,, Sonokidul,,
,,, Kodokan,,
,,, Kemiri,,
,,, Bakah,,
,,, Plosorejo,,
41,SMP N 3 Kunduran, Karanggeneng, Balong, Ngawen,
,,, Jetak, Japah,
,,, Muraharjo, Kunduran,
,,, Klokah, Todanan,
,,, Jagong,,
,,, Bejirejo,,
,,, Tawangrejo,,
,,,Keluruhan Kunduran,,
,,, Srigading,,
,,, Karangjong,,
,,,Blumbangrejo,,
42,SMP N 1 Todanan, Ngumbul, Pelem Sengir, Ngawen, Wirosari
,,, Sonokulon, Japah, Ngaringan
,,, Sambeng, Kunduran,
,,, Kacangan, Todanan,
,,, Ketileng,,
,,, Prigi,,
,,, Wukirsari,,
,,, Bicak,,
,,, Sendang,,
,,,Kedungwungu,,
,,,Tinapan,,
43,SMP N 2 Todanan, Todanan, Dalangan, Ngawen, Pucakwangi
,,, Cokrowati, Japah,
,,, Dringo, Kunduran,
,,, Kajengan, Todanan,
,,, Gunungan,,
,,, Gondoriyo,,
,,, Kembang,,
,,, Bedingin,,
,,, Kedungbacin,,
,,, Ledok,,
,,, Candi,,
,,, Kedungwungu,,
,,, Tinapan,,
,,, Karanganyar,,
,,, Sendang,,
,,,Bicak,,
44,SMP N 3 Todanan Satu Atap,Bedingin,Kembang, Japah,
,,,, Todanan,
45,SMP N 1 Randublatung, Pilang, Randublatung, Randublatung,
,,, Wulung, Kedungtuban,
,,,Ploso, Jati,
,,, Sambongwangan, Kradenan,
,,, Kadengan,,
,,,Kediren,,
,,, Tanggel,,
46,SMP N 2 Randublatung, Jeruk, Plosorejo, Randublatung,
,,, Bekutuk, Kedungtuban,
,,, Kadengan, Jati,
,,, Tanggel,,
,,, Temuireng,,
,,,,,
,,, Tobo,,
,,, Randulawang,,
47,SMP N 3 Randublatung, Kutukan, Sumber, Randublatung,
,,, Sumberejo, Kedungtuban,
,,, Tanjung, Jati,
,,,Kediren,,
,,, Ploso, Kradenan,
48,SMP N 4 Randublatung, Temulus, Pilang, Randublatung,
,,, Mendenrejo, Kedungtuban,
,,, Sumber, Jati,
,,, Sumberejo, Kradenan,
49,SMP N 5 Randublatung Satu Atap,Ngliron,Kalisari, Randublatung,
,,,Tanggel, Banjarejo,
50,SMP N 1 Doplang,Doplang, Doplang, Randublatung, Gabus
,,,, Jati,
,,, Jati, Kradenan,
,,, , Kunduran,
,,,Singget,,
,,, Kemadoh,,
,,, Gabusan,,
,,,Lencong,,
,,,Temuireng,,
,,,Randulawang,,
,,,Pelem,,
,,,Jegong,,
51,SMP N 2 Doplang, Randulawang, Sambongwangan, Randublatung,
,,, Tobo, Jati,
,,, Plosorejo, Kradenan,
,,, Kepoh,,
,,, Pelem,,
,,,Doplang,,
52,SMP N 3 Doplang, Bangkleyan, Selogender, Randublatung ,Pitu
,,,, Jati ,Karanganyar
,,,, Kradenan,
53,SMP N 4 Doplang Satu Atap,Gempol,Kepoh, Jati, Pitu
,,,, Randublatung, Karanganyar
,,,Bangkleyan, Kradenan,
54,SMP N 1 Menden, Mendenrejo, Sumber, Randublatung, Ngraho
,,, Ngrawoh, Kedungtuban, Pitu
,,, Nginggil, Jati,
,,, Mojorembun, Kradenan,
,,,Medalem,,
,,,Bapangan,,
,,,Sunggun,,
55,SMP N 2 Menden, Medalem, Nglungger, Randublatung, Ngraho
,,,Menden, Kedungtuban,
,,,Sidorejo, Kradenan,
,,,Nggondel,,
,,,Sumber,,
56,SMP N 3 Menden Satu Atap,Nglebak,Selogender, Kradenan, Ngawi
,,,Megeri,, Pitu
,,,Nginggil,,
,,,Nggetas,,
